student_id,student_name,age,gender,country,university,program_level,field_of_study,year_of_study,tuition_usd,scholarship,online_classes,campus_facilities_rating,teaching_quality_rating,overall_satisfaction
1,Dustin Shaw,30.0,Other,Netherlands,"Herrera, Juarez and Williams University",Bachelor,Data Science,5.0,47419.0,Yes,No,1.0,2.0,Satisfied
2,Richard Hughes,20.0,Female,UK,Norton LLC University,Master,Computer Science,4.0,6419.0,Yes,Yes,3.0,4.0,Satisfied
3,John Cooper,34.0,Female,UK,Berg Inc University,PhD,Engineering,3.0,7126.0,Yes,No,3.0,5.0,Very Dissatisfied
4,Travis Thompson,19.0,Female,Japan,Johnson-Gordon University,Bachelor,Business,2.0,13564.0,No,Yes,4.0,4.0,Dissatisfied
5,Jessica Campbell,34.0,Female,Japan,Nixon-Dodson University,PhD,Social Sciences,3.0,2531.0,Yes,Yes,5.0,3.0,Dissatisfied
6,Kristin Thompson,19.0,Other,Japan,Page LLC University,Master,Data Science,3.0,21558.0,Yes,Yes,1.0,4.0,Very Dissatisfied
7,Laura Stephens,34.0,Male,France,"Smith, Ferrell and Curtis University",PhD,Physics,5.0,48252.0,No,Yes,1.0,1.0,Dissatisfied
8,Mary Scott,25.0,Female,India,"Johnson, Malone and Brown University",PhD,Medicine,2.0,46233.0,Yes,No,1.0,5.0,Very Dissatisfied
9,Peter Fernandez,29.0,Male,UAE,Martinez-Perez University,Bachelor,Business,1.0,17725.0,No,Yes,2.0,2.0,Neutral
10,Mark Gibson,20.0,Other,Germany,"Henry, Jones and Anderson University",Master,Business,1.0,5089.0,Yes,No,5.0,5.0,Neutral
11,Candace Robbins,33.0,Female,France,Green Ltd University,Master,Computer Science,5.0,42121.0,Yes,No,5.0,4.0,Satisfied
12,Ralph Coffey,22.0,Other,Japan,Williams Ltd University,Master,Medicine,1.0,3779.0,No,No,2.0,1.0,Very Dissatisfied
13,Nicole Powell,26.0,Male,Australia,Martinez-Johnson University,Bachelor,Business,3.0,30891.0,Yes,No,3.0,2.0,Satisfied
14,Ian Hall,27.0,Female,Pakistan,Carlson PLC University,Master,Arts,5.0,5589.0,No,No,3.0,1.0,Satisfied
15,Donald Little,33.0,Male,Canada,"Beck, White and Long University",Bachelor,Computer Science,1.0,3902.0,No,Yes,5.0,4.0,Dissatisfied
16,Benjamin Carlson,23.0,Male,UK,Jenkins-Porter University,PhD,Social Sciences,2.0,13220.0,No,Yes,1.0,2.0,Very Dissatisfied
17,Patrick Mendoza,21.0,Female,USA,Martinez Inc University,Master,Medicine,3.0,11647.0,Yes,No,4.0,3.0,Very Satisfied
18,Lindsey Mays,20.0,Female,France,Chapman PLC University,Master,Social Sciences,2.0,4000.0,No,Yes,5.0,2.0,Very Dissatisfied
19,Christopher Smith,31.0,Male,Japan,Lynch-Wilson University,Bachelor,Engineering,3.0,20959.0,No,No,1.0,5.0,Very Dissatisfied
20,Andrew Walker,34.0,Male,Malaysia,Rodriguez Ltd University,PhD,Business,3.0,44025.0,Yes,Yes,5.0,1.0,Very Dissatisfied
21,Eric Hendricks,23.0,Male,USA,Quinn Inc University,PhD,Business,3.0,40487.0,No,No,,3.0,Very Satisfied
22,Brandon Dorsey,25.0,Female,UAE,Hansen Inc University,Bachelor,AI,5.0,5326.0,No,No,4.0,5.0,Dissatisfied
23,Michael Underwood,23.0,Male,Japan,Fischer PLC University,PhD,Medicine,2.0,44544.0,Yes,No,5.0,5.0,Dissatisfied
24,Amy Smith,28.0,Other,USA,Patel Inc University,Bachelor,Arts,2.0,22146.0,Yes,Yes,4.0,5.0,Dissatisfied
25,Gary Henson,31.0,Female,India,"Martin, Cooper and Anderson University",Master,Engineering,3.0,45206.0,Yes,Yes,4.0,2.0,Neutral
26,Shawn Russell,28.0,Male,China,Cross-Carter University,PhD,Computer Science,2.0,41169.0,No,Yes,4.0,3.0,Very Satisfied
27,Patricia Lucas,24.0,Other,Netherlands,Lawrence-Buckley University,Bachelor,Arts,5.0,12606.0,No,Yes,1.0,1.0,Dissatisfied
28,Jeffrey Castillo,33.0,Female,Canada,"Ingram, Salazar and Stephens University",PhD,AI,3.0,25089.0,No,Yes,1.0,1.0,Very Satisfied
29,Julia Watson,23.0,Other,China,"Archer, Chapman and Stevens University",PhD,Computer Science,2.0,7726.0,No,Yes,1.0,5.0,Very Satisfied
30,Darren Brooks,27.0,Other,France,"Miller, Johnson and Dixon University",Master,Medicine,4.0,13907.0,No,No,3.0,5.0,Neutral
31,Chad Lutz,23.0,Other,Australia,Cooper-Crawford University,Master,Arts,4.0,26516.0,No,No,2.0,3.0,Very Satisfied
32,Cynthia Garrett,20.0,Female,Malaysia,Bernard Group University,Bachelor,Social Sciences,1.0,7035.0,Yes,No,5.0,1.0,Very Dissatisfied
33,Keith Robinson,22.0,Female,UAE,Johnson PLC University,PhD,Physics,3.0,15702.0,Yes,No,3.0,2.0,Neutral
34,Justin Curtis,25.0,Male,India,Choi PLC University,Bachelor,Computer Science,5.0,49217.0,Yes,No,4.0,3.0,Very Dissatisfied
35,Christina Hill,35.0,Male,India,Weber-Wright University,PhD,Medicine,1.0,16695.0,No,Yes,4.0,3.0,Very Dissatisfied
